document_id,content
doc1,heat butter large skillet heat add apple sugar cranberry cover cook apple release liquid minute remove lid continue cook stirring frequently soft apple fall apart juice thicken consistency minute longer pour onto cookie sheet jellyroll pan cool room temperature refrigerated airtight container day adjust oven rack low position heat oven degree open puff pastry sheet lightly floured work surface roll rectangle transfer large cookie sheet suggest lining sheet parchment paper ensures crostada stick allows easy cleanup spread cooked apple pastry leaving border fold pastry border apple unfold corner form ruffled crease keep dough overlapping brush pastry border egg white sprinkle remaining tb sugar bake pastry golden brown minute serve warm room temperature optional ice cream whipped cream
doc2,peel core apple thinly slice set aside preheat oven degree f degree c melt butter saucepan medium heat add flour stir form paste cook fragrant minute add sugar water bring boil reduce heat low simmer minute remove heat press one pastry bottom side pie pan roll remaining pastry overhang pie cut pastry eight strip place sliced apple bottom crust forming slight mound lay four pastry strip vertically evenly spaced apple using longer strip center shorter strip edge make lattice crust fold first third strip way back almost falling pie lay one unused strip perpendicularly second fourth strip unfold first third strip back original position fold second fourth vertical strip back lay one three unused strip perpendicularly top unfold second fourth strip back original position repeat step weave last two strip pastry fold trim excess dough edge necessary pinch secure slowly gently pour mixture lattice crust making sure seeps sliced apple brush onto lattice make sure run side bake preheated oven minute reduce temperature degree f degree c continue baking apple soft minute natalie
doc3,combine apple water sugar cinnamon saucepan cover cook medium heat apple soft minute allow apple mixture cool mash fork potato masher consistency like photo cookin mama
doc4,preheat oven degree f degree c place sliced apple baking dish mix white sugar flour cinnamon together sprinkle apple pour water evenly apple combine oat flour brown sugar baking powder baking soda large bowl add melted butter mix fork crumbly sprinkle evenly apple mixture bake preheated oven top golden brown apple bubbling around edge minute dotdash meredith food studio
doc5,toss apple lemon juice large bowl set aside pour water dutch oven medium heat combine sugar cornstarch cinnamon salt nutmeg bowl add water stir well bring boil boil minute stirring constantly add apple return boil reduce heat cover simmer apple tender minute cool minute ladle freezer container leaving headspace cool room temperature longer hour seal freeze stored month dotdash meredith food studio
doc6,preheat oven degree f degree c toss apple white sugar cinnamon medium bowl coat pour square baking dish mix brown sugar oat flour cinnamon separate bowl cut cold butter knife pastry blender mixture resembles coarse crumb spread apple pat gently even bake preheated oven golden brown side bubbling minute
doc7,combine apple cider cinnamon stick slow cooker place allspice clove onto center square piece cheesecloth gather edge cheesecloth together tie secure place slow cooker stir brown sugar cook high come boil reduce heat low keep warm
doc8,preheat oven degree f degree butter square baking dish mix apple cranberry white sugar cinnamon nutmeg large bowl place even layer prepared baking dish bowl combine oat flour brown sugar topping add butter piece mix fork crumbly stir pecan sprinkle topping apple baking dish bake preheated oven apple tender topping golden brown minute
doc9,preheat oven degree f degree c butter pan roll pastry rectangle lightly floured surface cut six square place apple pastry square cored opening facing upward cut butter piece place piece opening apple reserve remaining butter sauce divide brown sugar apple poking inside cored opening rest around base apple sprinkle cinnamon nutmeg apple using slightly wet fingertip bring one corner pastry square top apple bring opposite corner top press together bring two remaining corner seal slightly pinch dough side completely seal apple repeat remaining apple place prepared baking dish combine water white sugar vanilla extract reserved butter large saucepan place medium heat bring boil reduce heat low simmer sugar dissolved minute carefully pour sauce dumpling bake preheated oven minute place apple dumpling dessert bowl spoon sauce top
doc10,melt butter large skillet medium heat add sugar cinnamon stir sugar dissolve add apple cook softened minute melissa goff
doc11,combine lemon water large bowl place sliced apple water keep browning melt butter large skillet medium heat drain water apple place hot skillet cook stir minute add brown sugar cinnamon cook stirring minute stir together cornstarch water pour skillet mix well cook another minute sauce thickened remove heat cool slightly preheat oven degree f degree c unfold puff pastry sheet repair crack pressing back together trim sheet square cut larger square smaller square spoon apple onto center square fold corner corner triangle shape press edge together seal place turnover baking sheet leaving bake minute preheated oven turnover puffed lightly browned cool completely glazing make glaze mix together confectioner sugar milk vanilla small bowl adjust thickness adding sugar milk necessary drizzle glaze cooled turnover dotdash meredith food studio
doc12,preheat oven degree f degree c lightly grease square baking dish arrange apple slice evenly prepared baking dish sift flour sugar cinnamon salt bowl cut butter using pastry blender knife mixture resembles coarse cornmeal sprinkle apple bake preheated oven topping golden minute cool slightly serving naples
doc13,bring large saucepan water boil dip apple boiling water second using slotted spoon dry paper towel remove wax peel set apple aside cool completely minute insert stick bottom cooled apple core handle line baking sheet parchment paper stir brown sugar sweetened condensed milk corn syrup butter together saucepan heat bring boil stirring constantly reduce heat medium cook candy thermometer read degree f degree c stirring constantly prevent burning minute caramel dropped glass cold water form firm ball remove caramel heat stir vanilla extract working quickly dip apple hot caramel completely coat apple wooden handle sprinkle apple desired topping still hot let caramel apple cool prepared baking sheet hour use caution caramel hot
doc14,melt butter large soup pot medium heat add onion celery carrot sauté soft minute add flour curry cook minute stirring frequently add chicken broth mix well bring boil reduce heat simmer minute add apple rice chicken thyme salt pepper simmer rice tender minute serving stir hot cream thebritishbaker
doc15,melt butter large skillet saucepan medium heat add apple cook stirring constantly almost tender minute mix water cornstarch together small bowl cornstarch dissolved pour apple stir brown sugar cinnamon bring boil minute stirring occasionally remove heat serve warm dotdash meredith food studio
doc16,place apple large stockpot cover water least stir sugar cinnamon allspice bring boil heat boil uncovered hour reduce heat cover simmer hour strain apple mixture sieve discard solid drain cider sieve refrigerate cider cold hour ladonna langwell
doc17,mix sugar cornstarch cinnamon nutmeg large pan add water salt mix well bring boil cook thick bubbly remove heat add lemon juice food coloring sterilize canning jar lid ring boiling large pot water peel core slice apple pack sliced apple hot canning jar leaving headspace fill jar hot syrup gently remove air bubble knife put lid process water bath canner minute
doc18,preheat oven degree f degree c line pie dish one pastry crust set second one aside combine sugar cinnamon small bowl add sugar apple tart layer apple slice prepared pie dish sprinkling layer mixture dot top layer small piece butter cover top crust bake pie lowest rack preheated oven minute reduce oven temperature degree f degree c continue baking golden brown filling bubble minute serve warm cold dotdash meredith food studio
doc19,preheat oven degree f degree c place sliced apple large bowl sprinkle lemon juice mix white sugar flour cinnamon nutmeg together small bowl sprinkle mixture apple toss evenly coated stir raisin walnut transfer mixture pie shell mix flour brown sugar together small bowl blend butter fork mixture crumbly sprinkle apple filling cover top pie loosely aluminum foil bake preheated oven minute remove foil bake top golden brown filling bubbly minute cool wire rack serving
doc20,remove stem apple press craft stick top spray baking sheet cooking spray place caramel milk bowl microwave minute stirring set aside cool briefly roll apple quickly caramel sauce well coated place prepared sheet set
doc21,preheat oven degree f degree c grease flour cake pan beat oil egg mixing bowl electric mixer creamy add sugar vanilla beat well stir together flour cinnamon baking soda salt bowl slowly add flour mixture egg mixture mix combined batter thick fold apple hand using wooden spoon spread batter prepared pan bake cake preheated oven toothpick inserted center come clean minute cool cake wire rack
doc22,preheat oven degree f degree c spread white whole wheat bread cube single layer large baking sheet bake preheated oven evenly toasted minute transfer toasted bread cube large bowl cook sausage onion large skillet medium heat stirring breaking lump evenly browned minute add celery sage rosemary thyme cook stir flavor blend minute pour sausage mixture bread bowl mix chopped apple dried cranberry parsley liver drizzle turkey stock melted butter mix lightly allow stuffing cool completely loosely stuffing turkey dotdash meredith food studio
