document_id,content
doc1,heat butter larg skillet heat add appl sugar cranberri cover cook appl releas liquid minut remov lid continu cook stir frequent soft appl fall apart juic thicken consist minut longer pour onto cooki sheet jellyrol pan cool room temperatur refriger airtight contain day adjust oven rack low posit heat oven degre open puff pastri sheet lightli flour work surfac roll rectangl transfer larg cooki sheet suggest line sheet parchment paper ensur crostada stick allow easi cleanup spread cook appl pastri leav border fold pastri border appl unfold corner form ruffl creas keep dough overlap brush pastri border egg white sprinkl remain tb sugar bake pastri golden brown minut serv warm room temperatur option ice cream whip cream
doc2,peel core appl thinli slice set asid preheat oven degre f degre c melt butter saucepan medium heat add flour stir form past cook fragrant minut add sugar water bring boil reduc heat low simmer minut remov heat press one pastri bottom side pie pan roll remain pastri overhang pie cut pastri eight strip place slice appl bottom crust form slight mound lay four pastri strip vertic evenli space appl use longer strip center shorter strip edg make lattic crust fold first third strip way back almost fall pie lay one unus strip perpendicularli second fourth strip unfold first third strip back origin posit fold second fourth vertic strip back lay one three unus strip perpendicularli top unfold second fourth strip back origin posit repeat step weav last two strip pastri fold trim excess dough edg necessari pinch secur slowli gentli pour mixtur lattic crust make sure seep slice appl brush onto lattic make sure run side bake preheat oven minut reduc temperatur degre f degre c continu bake appl soft minut natali
doc3,combin appl water sugar cinnamon saucepan cover cook medium heat appl soft minut allow appl mixtur cool mash fork potato masher consist like photo cookin mama
doc4,preheat oven degre f degre c place slice appl bake dish mix white sugar flour cinnamon togeth sprinkl appl pour water evenli appl combin oat flour brown sugar bake powder bake soda larg bowl add melt butter mix fork crumbl sprinkl evenli appl mixtur bake preheat oven top golden brown appl bubbl around edg minut dotdash meredith food studio
doc5,toss appl lemon juic larg bowl set asid pour water dutch oven medium heat combin sugar cornstarch cinnamon salt nutmeg bowl add water stir well bring boil boil minut stir constantli add appl return boil reduc heat cover simmer appl tender minut cool minut ladl freezer contain leav headspac cool room temperatur longer hour seal freez store month dotdash meredith food studio
doc6,preheat oven degre f degre c toss appl white sugar cinnamon medium bowl coat pour squar bake dish mix brown sugar oat flour cinnamon separ bowl cut cold butter knive pastri blender mixtur resembl coars crumb spread appl pat gentli even bake preheat oven golden brown side bubbl minut
doc7,combin appl cider cinnamon stick slow cooker place allspic clove onto center squar piec cheesecloth gather edg cheesecloth togeth tie secur place slow cooker stir brown sugar cook high come boil reduc heat low keep warm
doc8,preheat oven degre f degre butter squar bake dish mix appl cranberri white sugar cinnamon nutmeg larg bowl place even layer prepar bake dish bowl combin oat flour brown sugar top add butter piec mix fork crumbl stir pecan sprinkl top appl bake dish bake preheat oven appl tender top golden brown minut
doc9,preheat oven degre f degre c butter pan roll pastri rectangl lightli flour surfac cut six squar place appl pastri squar core open face upward cut butter piec place piec open appl reserv remain butter sauc divid brown sugar appl poke insid core open rest around base appl sprinkl cinnamon nutmeg appl use slightli wet fingertip bring one corner pastri squar top appl bring opposit corner top press togeth bring two remain corner seal slightli pinch dough side complet seal appl repeat remain appl place prepar bake dish combin water white sugar vanilla extract reserv butter larg saucepan place medium heat bring boil reduc heat low simmer sugar dissolv minut care pour sauc dumpl bake preheat oven minut place appl dumpl dessert bowl spoon sauc top
doc10,melt butter larg skillet medium heat add sugar cinnamon stir sugar dissolv add appl cook soften minut melissa goff
doc11,combin lemon water larg bowl place slice appl water keep brown melt butter larg skillet medium heat drain water appl place hot skillet cook stir minut add brown sugar cinnamon cook stir minut stir togeth cornstarch water pour skillet mix well cook anoth minut sauc thicken remov heat cool slightli preheat oven degre f degre c unfold puff pastri sheet repair crack press back togeth trim sheet squar cut larger squar smaller squar spoon appl onto center squar fold corner corner triangl shape press edg togeth seal place turnov bake sheet leav bake minut preheat oven turnov puf lightli brown cool complet glaze make glaze mix togeth confection sugar milk vanilla small bowl adjust thick ad sugar milk necessari drizzl glaze cool turnov dotdash meredith food studio
doc12,preheat oven degre f degre c lightli greas squar bake dish arrang appl slice evenli prepar bake dish sift flour sugar cinnamon salt bowl cut butter use pastri blender knive mixtur resembl coars cornmeal sprinkl appl bake preheat oven top golden minut cool slightli serv napl
doc13,bring larg saucepan water boil dip appl boil water second use slot spoon dri paper towel remov wax peel set appl asid cool complet minut insert stick bottom cool appl core handl line bake sheet parchment paper stir brown sugar sweeten condens milk corn syrup butter togeth saucepan heat bring boil stir constantli reduc heat medium cook candi thermomet read degre f degre c stir constantli prevent burn minut caramel drop glass cold water form firm ball remov caramel heat stir vanilla extract work quickli dip appl hot caramel complet coat appl wooden handl sprinkl appl desir top still hot let caramel appl cool prepar bake sheet hour use caution caramel hot
doc14,melt butter larg soup pot medium heat add onion celeri carrot sauté soft minut add flour curri cook minut stir frequent add chicken broth mix well bring boil reduc heat simmer minut add appl rice chicken thyme salt pepper simmer rice tender minut serv stir hot cream thebritishbak
doc15,melt butter larg skillet saucepan medium heat add appl cook stir constantli almost tender minut mix water cornstarch togeth small bowl cornstarch dissolv pour appl stir brown sugar cinnamon bring boil minut stir occasion remov heat serv warm dotdash meredith food studio
doc16,place appl larg stockpot cover water least stir sugar cinnamon allspic bring boil heat boil uncov hour reduc heat cover simmer hour strain appl mixtur siev discard solid drain cider siev refriger cider cold hour ladonna langwel
doc17,mix sugar cornstarch cinnamon nutmeg larg pan add water salt mix well bring boil cook thick bubbl remov heat add lemon juic food color steril canning jar lid ring boil larg pot water peel core slice appl pack slice appl hot canning jar leav headspac fill jar hot syrup gentli remov air bubbl knife put lid process water bath canner minut
