,lemmatized_cbow_w2_d100,lemmatized_cbow_w2_d300,lemmatized_cbow_w4_d100,lemmatized_cbow_w4_d300,lemmatized_skipgram_w2_d100,lemmatized_skipgram_w2_d300,lemmatized_skipgram_w4_d100,lemmatized_skipgram_w4_d300,stemmed_cbow_w2_d100,stemmed_cbow_w2_d300,stemmed_cbow_w4_d100,stemmed_cbow_w4_d300,stemmed_skipgram_w2_d100,stemmed_skipgram_w2_d300,stemmed_skipgram_w4_d100,stemmed_skipgram_w4_d300,tfidf_lemmatized,tfidf_stemmed
lemmatized_cbow_w2_d100,1.0,0.43,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_cbow_w2_d300,0.43,1.0,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_cbow_w4_d100,1.0,0.43,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_cbow_w4_d300,0.67,0.43,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_skipgram_w2_d100,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_skipgram_w2_d300,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_skipgram_w4_d100,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_skipgram_w4_d300,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0
stemmed_cbow_w2_d100,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,1.0,0.67,0.43,0.43,0.0,0.11,0.0,0.0,0.0,0.0
stemmed_cbow_w2_d300,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.67,1.0,0.67,0.67,0.0,0.11,0.0,0.0,0.0,0.0
stemmed_cbow_w4_d100,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.43,0.67,1.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0
stemmed_cbow_w4_d300,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.43,0.67,1.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0
stemmed_skipgram_w2_d100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,1.0,0.0,0.0
stemmed_skipgram_w2_d300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.67,1.0,0.43,0.67,0.0,0.0
stemmed_skipgram_w4_d100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.43,1.0,0.67,0.0,0.0
stemmed_skipgram_w4_d300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,1.0,0.0,0.0
tfidf_lemmatized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67
tfidf_stemmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0
